iter	RMSE
212	0.9358339516
213	0.9326056442
214	0.9291849379
215	0.9246763396
216	0.9224116918
217	0.9196437054
218	0.9152489341
219	0.9095349323
220	0.9063952322
221	0.9024263855
222	0.8981624797
223	0.8955426458
224	0.8896594382
225	0.8875342368
226	0.8846820408
227	0.8806200733
228	0.8761025039
229	0.8712743293
230	0.8672372686
231	0.8640271197
232	0.8610575292
233	0.8569723831
234	0.8548832024
235	0.8487394612
236	0.8466198033
237	0.8448561264
238	0.8393885147
239	0.8344526787
240	0.8314291546
241	0.8285784885
242	0.8254983193
243	0.8234208573
244	0.820370835
245	0.8183758883
246	0.8166812241
247	0.8142102434
248	0.81150338
249	0.8063161977
250	0.8029875192
251	0.7999594794
252	0.7961800907
253	0.792179616
254	0.7883893034
255	0.7839140971
256	0.7817109024
257	0.77774238
258	0.7747893508
259	0.771372485
260	0.7691723262
261	0.7647338123
262	0.7599249744
263	0.7563474807
264	0.7538440143
265	0.7514046437
266	0.7467591755
267	0.7422538825
268	0.7402489952
269	0.7370152002
270	0.7342045296
271	0.732814778
272	0.731123743
273	0.7288211043
274	0.7248364529
275	0.7231523985
276	0.7188205678
277	0.7167298064
278	0.7129215325
279	0.7104924594
280	0.7076274775
281	0.7051553942
282	0.7023816458
283	0.6988331141
284	0.6955169917
285	0.6929545051
286	0.6914255999
287	0.6892325877
288	0.6878397899
289	0.6851450329
290	0.6831672906
291	0.6810333323
292	0.6791378213
293	0.6754446436
294	0.673358359
295	0.6709091187
296	0.6685969866
297	0.6656661659
298	0.6647148405
299	0.6607830563
300	0.6554246017
301	0.6524561786
302	0.6501943985
303	0.6480752957
304	0.6450634437
305	0.6422867268
306	0.6405836861
307	0.6388240641
308	0.6375162114
309	0.6346524352
310	0.6325312266
311	0.6297025641
312	0.6277357451
313	0.6243595163
314	0.6227205874
315	0.6213187034
316	0.6182143479
317	0.6152562327
318	0.611467732
319	0.6093012976
320	0.6067607376
321	0.6041933928
322	0.6027850484
323	0.6005919983
324	0.5990729573
325	0.5974697059
326	0.5955973599
327	0.5938660995
328	0.5918777946
329	0.5905033028
330	0.589319419
331	0.5870961395
332	0.5843954415
333	0.5824601949
334	0.5799458078
335	0.5771457733
336	0.5754231748
337	0.5742305604
338	0.5708586836
339	0.5687598616
340	0.5674967828
341	0.5664553931
342	0.5649439721
343	0.5640875952
344	0.5619283176
345	0.5604213211
346	0.5573742724
347	0.5557403453
348	0.5546662994
349	0.5517951402
350	0.5498407256
351	0.5481966725
352	0.5453181189
353	0.5430900069
354	0.542173343
355	0.5411247782
356	0.5401879002
357	0.5381678443
358	0.5358008845
359	0.5344427163
360	0.5328994632
361	0.5319942602
362	0.5308051634
363	0.5294715504
364	0.5282240218
365	0.5270657472
366	0.5245746099
367	0.5237391446
368	0.5221631326
369	0.5209593433
370	0.5188423548
371	0.5172228429
372	0.5151479788
373	0.5139714373
374	0.5110666959
375	0.5095318677
376	0.5078147885
377	0.5068708852
378	0.5047538124
379	0.5038202924
380	0.5015634448
381	0.5007063385
382	0.4991343648
383	0.497485752
384	0.4958750379
385	0.4946180834
386	0.4932924903
387	0.4928279606
388	0.491305291
389	0.4896263678
390	0.4888073517
391	0.4876461112
392	0.4870594626
393	0.4862808592
394	0.4853154971
395	0.4847299992
396	0.4829558044
397	0.4816835921
398	0.479882459
399	0.4788346434
400	0.4766171116
401	0.4759762434
402	0.4738603259
403	0.4720463103
404	0.4699609114
405	0.467977227
406	0.4667119903
407	0.4653240686
408	0.4635876558
409	0.4626248797
410	0.4615479403
411	0.4600132432
412	0.458694746
413	0.4575861961
414	0.4558341267
415	0.4546809622
416	0.4537551474
417	0.4522598439
418	0.4513184159
419	0.4502257896
420	0.4488202823
421	0.4478525406
422	0.4460476165
423	0.4438607825
424	0.4425798139
425	0.44119441
426	0.4393011392
427	0.4382986682
428	0.4369976204
429	0.4354112809
430	0.4347318486
431	0.432769584
432	0.4317703023
433	0.4303646411
434	0.4295758982
435	0.4286614563
436	0.4274833869
437	0.4254712818
438	0.4244013173
439	0.422787661
440	0.4218487426
441	0.4208233433
442	0.4201550061
443	0.4180746248
444	0.4171961414
445	0.4166235786
446	0.4156823387
447	0.4144863282
448	0.4139208542
449	0.4127145478
450	0.4120137379
451	0.411320689
452	0.4102196928
453	0.4095163952
454	0.40802201
455	0.4074420831
456	0.4061050401
457	0.4050899514
458	0.4039378334
459	0.4028481402
460	0.4023363195
461	0.4012557088
462	0.4004521914
463	0.3995576926
464	0.3989114305
465	0.3981578358
466	0.397465896
467	0.3958520014
468	0.3942912747
469	0.3934780041
470	0.3926181649
471	0.3916811342
472	0.3905987031
473	0.3898513391
474	0.3890682333
475	0.3883631876
476	0.3874416235
477	0.3863667061
478	0.3851171254
479	0.384366048
480	0.3834813218
481	0.3829216073
482	0.3823408315
483	0.3809717221
484	0.3801476422
485	0.37927103
486	0.3786559105
487	0.3776660545
488	0.3771324412
489	0.3765839139
490	0.3758277044
491	0.3751092139
492	0.3737453687
493	0.3730169673
494	0.3724563155
495	0.3715846206
496	0.3708320706
497	0.3703703382
498	0.369915606
499	0.3686392571
